Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2026-01-19 08:45:00+00:00,25591.150390625,25636.30078125,25585.69921875,25589.650390625,0
2026-01-19 09:45:00+00:00,25555.5,25594.099609375,25545.400390625,25592.25,0
2026-01-20 03:45:00+00:00,25468.69921875,25582.849609375,25432.75,25580.05078125,0
2026-01-20 04:45:00+00:00,25449.599609375,25504.0,25446.25,25471.650390625,0
2026-01-20 05:45:00+00:00,25437.349609375,25492.5,25427.44921875,25450.599609375,0
2026-01-20 06:45:00+00:00,25415.94921875,25444.44921875,25405.599609375,25439.05078125,0
2026-01-20 07:45:00+00:00,25360.75,25436.150390625,25347.900390625,25416.30078125,0
2026-01-20 08:45:00+00:00,25217.05078125,25394.099609375,25216.25,25361.44921875,0
2026-01-20 09:45:00+00:00,25225.349609375,25239.30078125,25173.80078125,25215.05078125,0
2026-01-21 03:45:00+00:00,25153.25,25277.650390625,25137.94921875,25145.75,0
2026-01-21 04:45:00+00:00,25054.75,25159.099609375,24920.19921875,25153.80078125,0
2026-01-21 05:45:00+00:00,25136.150390625,25136.150390625,25024.44921875,25055.75,0
2026-01-21 06:45:00+00:00,25237.44921875,25300.650390625,25118.5,25135.150390625,0
2026-01-21 07:45:00+00:00,25136.69921875,25242.400390625,25132.849609375,25237.599609375,0
2026-01-21 08:45:00+00:00,25155.0,25202.05078125,25119.849609375,25137.44921875,0
2026-01-21 09:45:00+00:00,25168.099609375,25171.69921875,25140.55078125,25155.19921875,0
2026-01-22 03:45:00+00:00,25376.0,25434.849609375,25303.30078125,25344.599609375,0
2026-01-22 04:45:00+00:00,25215.75,25388.55078125,25202.44921875,25376.5,0
2026-01-22 05:45:00+00:00,25237.099609375,25280.55078125,25177.849609375,25215.94921875,0
2026-01-22 06:45:00+00:00,25191.94921875,25277.5,25190.44921875,25237.150390625,0
2026-01-22 07:45:00+00:00,25178.349609375,25245.0,25169.69921875,25192.05078125,0
2026-01-22 08:45:00+00:00,25288.55078125,25318.19921875,25168.5,25178.80078125,0
2026-01-22 09:45:00+00:00,25320.44921875,25332.349609375,25287.599609375,25288.44921875,0
2026-01-23 03:45:00+00:00,25281.69921875,25345.349609375,25249.55078125,25338.25,0
2026-01-23 04:45:00+00:00,25284.900390625,25320.80078125,25251.55078125,25280.55078125,0
2026-01-23 05:45:00+00:00,25185.19921875,25289.900390625,25183.94921875,25285.30078125,0
2026-01-23 06:45:00+00:00,25196.400390625,25243.80078125,25180.55078125,25185.94921875,0
2026-01-23 07:45:00+00:00,25063.400390625,25197.349609375,25044.150390625,25196.650390625,0
2026-01-23 08:45:00+00:00,25045.849609375,25107.80078125,25028.849609375,25064.05078125,0
2026-01-23 09:45:00+00:00,25064.75,25074.5,25025.55078125,25046.5,0
2026-01-27 03:45:00+00:00,25128.44921875,25160.44921875,24933.05078125,25079.0,0
2026-01-27 04:45:00+00:00,25029.400390625,25184.0,24979.05078125,25129.349609375,0
2026-01-27 05:45:00+00:00,25120.349609375,25162.05078125,25022.099609375,25029.05078125,0
2026-01-27 06:45:00+00:00,25088.94921875,25138.19921875,25056.5,25121.55078125,0
2026-01-27 07:45:00+00:00,25034.55078125,25132.25,24998.25,25089.099609375,0
2026-01-27 08:45:00+00:00,25170.400390625,25175.349609375,25007.849609375,25034.900390625,0
2026-01-27 09:45:00+00:00,25234.099609375,25246.099609375,25168.05078125,25169.25,0
2026-01-28 03:45:00+00:00,25248.099609375,25371.400390625,25227.650390625,25248.599609375,0
2026-01-28 04:45:00+00:00,25325.599609375,25330.599609375,25234.05078125,25248.30078125,0
2026-01-28 05:45:00+00:00,25313.80078125,25351.05078125,25290.650390625,25325.349609375,0
2026-01-28 06:45:00+00:00,25276.25,25318.05078125,25252.05078125,25313.80078125,0
2026-01-28 07:45:00+00:00,25209.05078125,25291.30078125,25188.150390625,25276.599609375,0
2026-01-28 08:45:00+00:00,25329.650390625,25344.5,25201.099609375,25208.650390625,0
2026-01-28 09:45:00+00:00,25348.05078125,25358.400390625,25329.75,25329.75,0
2026-01-29 03:45:00+00:00,25211.650390625,25346.400390625,25160.05078125,25346.400390625,0
2026-01-29 04:45:00+00:00,25257.80078125,25258.94921875,25167.650390625,25210.349609375,0
2026-01-29 05:45:00+00:00,25280.75,25296.900390625,25240.0,25257.94921875,0
2026-01-29 06:45:00+00:00,25353.650390625,25367.30078125,25262.05078125,25280.400390625,0
2026-01-29 07:45:00+00:00,25412.900390625,25436.25,25328.30078125,25353.44921875,0
2026-01-29 08:45:00+00:00,25407.599609375,25457.19921875,25398.650390625,25413.30078125,0
2026-01-29 09:45:00+00:00,25422.099609375,25431.650390625,25405.099609375,25407.650390625,0
2026-01-30 03:45:00+00:00,25314.30078125,25323.0,25219.150390625,25261.25,0
2026-01-30 04:45:00+00:00,25255.44921875,25319.650390625,25247.099609375,25315.80078125,0
2026-01-30 05:45:00+00:00,25294.69921875,25294.849609375,25232.0,25255.349609375,0
2026-01-30 06:45:00+00:00,25247.05078125,25316.599609375,25238.5,25293.650390625,0
2026-01-30 07:45:00+00:00,25352.44921875,25370.599609375,25213.80078125,25247.400390625,0
2026-01-30 08:45:00+00:00,25319.69921875,25368.80078125,25293.30078125,25353.5,0
2026-01-30 09:45:00+00:00,25315.80078125,25343.900390625,25309.599609375,25321.0,0
2026-02-03 03:45:00+00:00,25671.0,26290.19921875,25642.349609375,26264.900390625,0
2026-02-03 04:45:00+00:00,25784.19921875,25821.650390625,25672.349609375,25672.349609375,0
2026-02-03 05:45:00+00:00,25836.55078125,25863.150390625,25773.900390625,25785.150390625,0
2026-02-03 06:45:00+00:00,25790.30078125,25838.599609375,25767.55078125,25837.349609375,0
2026-02-03 07:45:00+00:00,25775.150390625,25811.849609375,25729.400390625,25791.30078125,0
2026-02-03 08:45:00+00:00,25717.849609375,25790.349609375,25696.849609375,25774.400390625,0
2026-02-03 09:45:00+00:00,25714.80078125,25749.44921875,25706.05078125,25721.900390625,0
2026-02-04 03:45:00+00:00,25782.30078125,25801.80078125,25572.30078125,25659.900390625,0
2026-02-04 04:45:00+00:00,25723.94921875,25787.05078125,25709.55078125,25782.55078125,0
2026-02-04 05:45:00+00:00,25742.55078125,25742.55078125,25685.94921875,25724.0,0
2026-02-04 06:45:00+00:00,25736.75,25762.94921875,25701.25,25741.69921875,0
2026-02-04 07:45:00+00:00,25790.900390625,25791.69921875,25727.849609375,25735.900390625,0
2026-02-04 08:45:00+00:00,25783.099609375,25818.30078125,25779.849609375,25789.94921875,0
2026-02-04 09:45:00+00:00,25737.5,25790.25,25737.5,25783.0,0
2026-02-05 03:45:00+00:00,25672.75,25752.25,25613.099609375,25752.25,0
2026-02-05 04:45:00+00:00,25673.55078125,25700.44921875,25611.94921875,25672.5,0
2026-02-05 05:45:00+00:00,25629.80078125,25680.19921875,25627.099609375,25673.650390625,0
2026-02-05 06:45:00+00:00,25636.80078125,25646.55078125,25604.099609375,25629.69921875,0
2026-02-05 07:45:00+00:00,25596.94921875,25657.30078125,25580.599609375,25637.44921875,0
2026-02-05 08:45:00+00:00,25647.80078125,25669.75,25589.900390625,25597.44921875,0
2026-02-05 09:45:00+00:00,25641.599609375,25649.75,25621.55078125,25647.75,0
2026-02-06 03:45:00+00:00,25515.80078125,25630.44921875,25504.75,25610.5,0
2026-02-06 04:45:00+00:00,25576.400390625,25576.400390625,25492.150390625,25515.80078125,0
2026-02-06 05:45:00+00:00,25611.05078125,25657.599609375,25564.599609375,25577.80078125,0
2026-02-06 06:45:00+00:00,25561.44921875,25614.349609375,25526.650390625,25611.69921875,0
2026-02-06 07:45:00+00:00,25612.30078125,25633.30078125,25549.099609375,25562.099609375,0
2026-02-06 08:45:00+00:00,25698.5,25703.44921875,25601.900390625,25612.150390625,0
2026-02-06 09:45:00+00:00,25673.599609375,25703.25,25660.19921875,25697.75,0
2026-02-09 03:45:00+00:00,25801.599609375,25903.099609375,25781.55078125,25903.099609375,0
2026-02-09 04:45:00+00:00,25857.94921875,25870.05078125,25794.0,25800.099609375,0
2026-02-09 05:45:00+00:00,25856.25,25868.349609375,25830.5,25858.150390625,0
2026-02-09 06:45:00+00:00,25849.94921875,25861.44921875,25819.94921875,25856.599609375,0
2026-02-09 07:45:00+00:00,25844.400390625,25860.0,25835.5,25850.75,0
2026-02-09 08:45:00+00:00,25866.30078125,25875.849609375,25836.25,25845.25,0
2026-02-09 09:45:00+00:00,25863.30078125,25870.55078125,25856.849609375,25866.55078125,0
2026-02-10 03:45:00+00:00,25944.349609375,25965.0,25871.44921875,25912.849609375,0
2026-02-10 04:45:00+00:00,25959.650390625,25978.55078125,25942.0,25944.400390625,0
2026-02-10 05:45:00+00:00,25963.650390625,25965.400390625,25941.900390625,25960.05078125,0
2026-02-10 06:45:00+00:00,25977.75,25989.19921875,25950.849609375,25964.349609375,0
2026-02-10 07:45:00+00:00,25918.69921875,25982.25,25893.19921875,25978.0,0
2026-02-10 08:45:00+00:00,25933.94921875,25967.400390625,25903.849609375,25918.150390625,0
2026-02-10 09:45:00+00:00,25916.80078125,25937.05078125,25906.05078125,25934.30078125,0
2026-02-11 03:45:00+00:00,25917.900390625,26000.650390625,25909.94921875,26000.650390625,0
2026-02-11 04:45:00+00:00,25956.94921875,25981.30078125,25916.900390625,25918.05078125,0
2026-02-11 05:45:00+00:00,25953.94921875,25979.05078125,25933.94921875,25957.400390625,0
2026-02-11 06:45:00+00:00,25923.75,25955.44921875,25900.19921875,25954.44921875,0
2026-02-11 07:45:00+00:00,25956.19921875,25969.19921875,25920.099609375,25923.94921875,0
2026-02-11 08:45:00+00:00,25955.900390625,25970.75,25937.19921875,25955.94921875,0
2026-02-11 09:45:00+00:00,25945.349609375,25958.650390625,25939.75,25957.94921875,0
2026-02-12 03:45:00+00:00,25880.849609375,25892.30078125,25823.80078125,25892.30078125,0
2026-02-12 04:45:00+00:00,25849.150390625,25882.599609375,25843.150390625,25881.80078125,0
2026-02-12 05:45:00+00:00,25828.900390625,25849.55078125,25806.849609375,25849.55078125,0
2026-02-12 06:45:00+00:00,25835.75,25859.849609375,25827.94921875,25829.80078125,0
2026-02-12 07:45:00+00:00,25817.55078125,25879.30078125,25805.849609375,25836.44921875,0
2026-02-12 08:45:00+00:00,25807.44921875,25840.69921875,25752.400390625,25818.19921875,0
2026-02-12 09:45:00+00:00,25796.150390625,25814.80078125,25790.400390625,25805.349609375,0
2026-02-13 03:45:00+00:00,25531.75,25625.099609375,25525.900390625,25578.599609375,0
2026-02-13 04:45:00+00:00,25554.19921875,25584.30078125,25513.55078125,25531.5,0
2026-02-13 05:45:00+00:00,25573.400390625,25576.69921875,25522.80078125,25553.69921875,0
2026-02-13 06:45:00+00:00,25574.69921875,25606.05078125,25531.650390625,25573.5,0
2026-02-13 07:45:00+00:00,25534.599609375,25586.849609375,25500.400390625,25575.650390625,0
2026-02-13 08:45:00+00:00,25477.19921875,25538.400390625,25473.150390625,25535.0,0
2026-02-13 09:45:00+00:00,25460.55078125,25489.80078125,25445.599609375,25475.55078125,0
2026-02-16 03:45:00+00:00,25551.44921875,25555.849609375,25376.05078125,25427.44921875,0
2026-02-16 04:45:00+00:00,25534.55078125,25561.150390625,25507.150390625,25551.44921875,0
2026-02-16 05:45:00+00:00,25545.69921875,25555.19921875,25503.05078125,25533.849609375,0
2026-02-16 06:45:00+00:00,25571.349609375,25590.5,25532.94921875,25545.400390625,0
2026-02-16 07:45:00+00:00,25580.349609375,25593.900390625,25544.849609375,25571.44921875,0
2026-02-16 08:45:00+00:00,25686.75,25695.849609375,25574.0,25581.099609375,0
2026-02-16 09:45:00+00:00,25682.44921875,25692.75,25673.0,25687.05078125,0
2026-02-17 03:45:00+00:00,25679.25,25681.400390625,25570.69921875,25644.5,0
2026-02-17 04:45:00+00:00,25673.099609375,25730.099609375,25642.75,25679.400390625,0
2026-02-17 05:45:00+00:00,25721.69921875,25745.349609375,25669.5,25673.94921875,0
2026-02-17 06:45:00+00:00,25736.349609375,25763.900390625,25713.900390625,25722.55078125,0
2026-02-17 07:45:00+00:00,25670.94921875,25761.94921875,25667.80078125,25736.25,0
2026-02-17 08:45:00+00:00,25724.849609375,25746.30078125,25662.599609375,25670.69921875,0
2026-02-17 09:45:00+00:00,25716.0,25731.849609375,25713.80078125,25725.44921875,0
2026-02-18 03:45:00+00:00,25661.94921875,25754.650390625,25651.05078125,25754.650390625,0
2026-02-18 04:45:00+00:00,25700.05078125,25709.0,25645.900390625,25663.849609375,0
2026-02-18 05:45:00+00:00,25709.849609375,25718.400390625,25676.55078125,25700.69921875,0
2026-02-18 06:45:00+00:00,25731.5,25742.05078125,25703.650390625,25710.5,0
2026-02-18 07:45:00+00:00,25756.80078125,25757.349609375,25695.75,25730.94921875,0
2026-02-18 08:45:00+00:00,25821.94921875,25827.150390625,25750.599609375,25756.94921875,0
2026-02-18 09:45:00+00:00,25805.69921875,25827.44921875,25805.05078125,25820.05078125,0
2026-02-19 03:45:00+00:00,25756.44921875,25879.599609375,25750.69921875,25866.30078125,0
2026-02-19 04:45:00+00:00,25715.80078125,25765.849609375,25708.75,25757.75,0
2026-02-19 05:45:00+00:00,25603.5,25720.69921875,25601.0,25715.30078125,0
2026-02-19 06:45:00+00:00,25624.55078125,25639.69921875,25568.19921875,25602.849609375,0
2026-02-19 07:45:00+00:00,25571.400390625,25636.25,25545.5,25623.849609375,0
2026-02-19 08:45:00+00:00,25447.599609375,25609.94921875,25442.0,25570.900390625,0
2026-02-19 09:45:00+00:00,25416.44921875,25447.55078125,25390.5,25447.55078125,0
2026-02-20 03:45:00+00:00,25480.44921875,25524.69921875,25380.349609375,25406.349609375,0
2026-02-20 04:45:00+00:00,25561.849609375,25606.0,25479.900390625,25479.900390625,0
2026-02-20 05:45:00+00:00,25603.099609375,25620.05078125,25562.150390625,25563.349609375,0
2026-02-20 06:45:00+00:00,25554.599609375,25663.349609375,25535.75,25602.44921875,0
2026-02-20 07:45:00+00:00,25602.150390625,25611.80078125,25532.0,25554.5,0
2026-02-20 08:45:00+00:00,25571.94921875,25652.849609375,25563.0,25601.650390625,0
2026-02-20 09:45:00+00:00,25565.900390625,25577.44921875,25538.900390625,25570.849609375,0
2026-02-23 03:45:00+00:00,25717.849609375,25770.69921875,25627.150390625,25678.400390625,0
2026-02-23 04:45:00+00:00,25696.55078125,25733.69921875,25646.599609375,25717.349609375,0
2026-02-23 05:45:00+00:00,25662.0,25699.19921875,25631.650390625,25696.099609375,0
2026-02-23 06:45:00+00:00,25637.5,25690.849609375,25631.55078125,25661.599609375,0
2026-02-23 07:45:00+00:00,25629.849609375,25680.30078125,25609.349609375,25636.69921875,0
2026-02-23 08:45:00+00:00,25710.75,25728.94921875,25619.75,25630.69921875,0
2026-02-23 09:45:00+00:00,25704.25,25722.5,25700.0,25712.099609375,0
